85s	97o	T4s	K3o	J2s	54s	Q5o	64s	T3s	22	K2o	74s	76o	T2s	Q4o	J6o	84s	94s	86o	T6o	96o	53s	93s	Q3o	J5o	63s
0,382895	0,352855	0,288231	0,276496	0,373786	0,404617	0,342734	0,393711	0,283392	0,504733	0,271589	0,382893	0,369614	0,278490	0,342327	0,341484	0,370530	0,356277	0,356269	0,258328	0,341823	0,391549	0,355832	0,338327	0,343547	0,380645
0,356490	0,262981	0,357445	0,536356	0,352833	0,378454	0,291629	0,367543	0,357027	0,482927	0,535388	0,355693	0,351089	0,353497	0,286651	0,326160	0,342778	0,279948	0,337800	0,338104	0,265659	0,369209	0,278832	0,285790	0,331377	0,355682
0,306924	0,405717	0,369757	0,328518	0,363717	0,307955	0,236409	0,389646	0,368613	0,499019	0,327152	0,381414	0,412726	0,367469	0,333123	0,378148	0,373465	0,362786	0,406085	0,393736	0,396509	0,293065	0,364454	0,331781	0,239986	0,377925
0,336809	0,462176	0,336698	0,294670	0,334498	0,189946	0,301812	0,168817	0,334915	0,184433	0,292139	0,329426	0,359571	0,332611	0,299879	0,313029	0,329116	0,328771	0,348725	0,327583	0,337845	0,184956	0,328860	0,297935	0,305627	0,151687
0,394538	0,405626	0,378783	0,340508	0,375831	0,385991	0,346377	0,308202	0,377639	0,505080	0,338671	0,390824	0,292171	0,376052	0,345113	0,241355	0,382875	0,371812	0,281117	0,256236	0,266356	0,372520	0,373864	0,343772	0,350423	0,293234
0,376447	0,341341	0,290057	0,554093	0,362733	0,400952	0,280433	0,390047	0,285259	0,494207	0,553103	0,377750	0,361134	0,280398	0,279555	0,330080	0,364082	0,347356	0,349765	0,260093	0,332650	0,387885	0,346911	0,274694	0,332144	0,376981
0,348798	0,269569	0,347771	0,524453	0,319438	0,375689	0,529223	0,360644	0,347353	0,473274	0,523485	0,350410	0,341075	0,343824	0,525002	0,286672	0,335086	0,283171	0,327767	0,328229	0,253866	0,366444	0,282095	0,524953	0,289804	0,351400
0,388561	0,284429	0,401277	0,361079	0,396573	0,408937	0,367174	0,399864	0,400826	0,528469	0,357000	0,385889	0,377298	0,397097	0,362374	0,365591	0,374483	0,281804	0,365087	0,377901	0,271707	0,399281	0,280544	0,361893	0,367924	0,387436
0,339235	0,265736	0,323141	0,512613	0,540375	0,360423	0,513193	0,355820	0,322336	0,463613	0,511645	0,343176	0,334978	0,318179	0,513162	0,519360	0,327618	0,287273	0,319281	0,288425	0,261433	0,360004	0,286237	0,513113	0,512961	0,346576
0,418458	0,413752	0,283986	0,329363	0,364541	0,315742	0,369454	0,318275	0,368617	0,502237	0,327997	0,305171	0,418236	0,367472	0,234783	0,381692	0,295026	0,281496	0,411988	0,393746	0,404544	0,389831	0,367988	0,332626	0,372659	0,381075
0,305729	0,376791	0,379349	0,316382	0,374018	0,387761	0,350323	0,374233	0,375099	0,500431	0,315511	0,363412	0,358877	0,374623	0,348538	0,345401	0,290859	0,376077	0,277715	0,357286	0,367803	0,373988	0,374535	0,343884	0,351139	0,360462
0,367606	0,330973	0,291659	0,541209	0,310463	0,397367	0,542870	0,382216	0,286903	0,483671	0,540219	0,371381	0,349408	0,282084	0,542842	0,275602	0,355241	0,338179	0,338011	0,245540	0,320957	0,384300	0,337734	0,541868	0,278997	0,369150
0,392161	0,283106	0,377134	0,348076	0,370587	0,386304	0,347953	0,372287	0,375501	0,496256	0,343081	0,302753	0,290665	0,371192	0,346689	0,343030	0,380499	0,373269	0,372505	0,354522	0,364930	0,372833	0,374832	0,344826	0,348375	0,358818
0,310704	0,390435	0,401686	0,357719	0,396263	0,410154	0,364753	0,398308	0,397301	0,524961	0,357158	0,383811	0,374677	0,396786	0,362973	0,362601	0,294636	0,394936	0,285576	0,374910	0,382194	0,396012	0,393323	0,358098	0,365503	0,384167
0,426375	0,413762	0,404147	0,229496	0,365364	0,434745	0,372999	0,426370	0,282535	0,505456	0,328842	0,418137	0,424532	0,368296	0,369288	0,385237	0,414406	0,399645	0,420416	0,397290	0,404554	0,303841	0,281496	0,233132	0,376203	0,306377
0,307965	0,366212	0,368954	0,546101	0,363623	0,384463	0,317870	0,370934	0,364704	0,490826	0,546027	0,359084	0,354350	0,364228	0,316104	0,334803	0,293136	0,366125	0,279918	0,346688	0,357677	0,370689	0,364583	0,311120	0,340542	0,357163
0,387039	0,287059	0,393290	0,302629	0,388523	0,407569	0,358927	0,396142	0,392838	0,517278	0,297764	0,385324	0,373474	0,389109	0,354127	0,354025	0,372961	0,287880	0,360130	0,366398	0,273880	0,397912	0,286662	0,353645	0,359677	0,383714
0,426379	0,417700	0,407600	0,365839	0,277883	0,440193	0,376544	0,434287	0,404129	0,620358	0,227812	0,426055	0,435093	0,281084	0,372832	0,389175	0,414409	0,403098	0,420426	0,401228	0,408492	0,428162	0,402680	0,369102	0,379748	0,422317
0,392165	0,406825	0,377137	0,382547	0,374080	0,385178	0,344726	0,313190	0,375993	0,500662	0,380765	0,391504	0,297029	0,374301	0,343463	0,243040	0,380503	0,373272	0,282330	0,257921	0,271733	0,371706	0,375324	0,342121	0,348772	0,298262
0,311272	0,357047	0,359281	0,534198	0,345082	0,381753	0,542741	0,366707	0,355031	0,481212	0,534124	0,353856	0,344394	0,354554	0,538938	0,311235	0,296483	0,356356	0,268254	0,336814	0,347701	0,367979	0,354814	0,534698	0,314408	0,352936
0,302766	0,348556	0,348391	0,522358	0,550827	0,375765	0,527128	0,362336	0,343920	0,471591	0,522284	0,347075	0,338777	0,343127	0,527097	0,532848	0,301788	0,347690	0,277092	0,312906	0,339292	0,361992	0,346147	0,522858	0,526867	0,348565
0,418244	0,290987	0,402214	0,357667	0,395623	0,409178	0,365182	0,396810	0,400595	0,523958	0,352712	0,305888	0,297719	0,396146	0,363971	0,363023	0,406274	0,394942	0,394371	0,374904	0,382188	0,395346	0,396618	0,362115	0,365498	0,382980
0,378173	0,474147	0,343630	0,297562	0,336821	0,189354	0,316719	0,335671	0,341847	0,184271	0,295601	0,335635	0,468545	0,340064	0,302519	0,444702	0,335562	0,335454	0,464741	0,461219	0,461331	0,172300	0,335543	0,300575	0,319680	0,327978
0,380649	0,272827	0,382236	0,569139	0,377469	0,403962	0,305599	0,392535	0,381785	0,506794	0,568149	0,380238	0,368068	0,378056	0,300377	0,342622	0,366571	0,289835	0,353686	0,354995	0,275780	0,394305	0,288658	0,299497	0,348274	0,380107
0,313646	0,317130	0,538720	0,515018	0,540277	0,368854	0,521321	0,355403	0,538716	0,465697	0,514944	0,340388	0,331434	0,538713	0,512274	0,523972	0,296102	0,343425	0,277550	0,530748	0,314540	0,359948	0,342661	0,512224	0,520640	0,344111
0,311328	0,412147	0,377228	0,415156	0,371129	0,327039	0,241293	0,399096	0,376084	0,504923	0,413733	0,391211	0,415527	0,374880	0,340771	0,378559	0,380210	0,373363	0,405619	0,394148	0,400233	0,312108	0,375031	0,339430	0,244870	0,387375
0,396144	0,286727	0,377906	0,558596	0,371359	0,387515	0,353293	0,373498	0,376273	0,497721	0,554332	0,306179	0,294027	0,371964	0,351886	0,343447	0,384482	0,374529	0,376737	0,355332	0,366261	0,374044	0,376092	0,350115	0,349185	0,360029
0,372388	0,279163	0,371944	0,556255	0,333319	0,400958	0,561343	0,385285	0,371493	0,496300	0,555265	0,374451	0,357292	0,367764	0,556922	0,300135	0,358310	0,292948	0,342882	0,344361	0,262824	0,391301	0,291813	0,556882	0,303577	0,375624
0,319293	0,428260	0,395268	0,345231	0,389087	0,320157	0,247008	0,415292	0,394170	0,524351	0,343928	0,406956	0,435017	0,393072	0,350032	0,398936	0,398910	0,387990	0,428280	0,415722	0,418389	0,304107	0,389775	0,348746	0,250877	0,403259
0,362226	0,274229	0,337209	0,543434	0,566328	0,385041	0,544129	0,379982	0,336367	0,485796	0,542443	0,366674	0,350653	0,331881	0,544101	0,550819	0,350299	0,296997	0,333772	0,301515	0,270201	0,384536	0,295904	0,544061	0,543969	0,370321
0,420826	0,427794	0,404796	0,358192	0,402039	0,410723	0,364204	0,320995	0,403698	0,530656	0,356398	0,416902	0,306995	0,402144	0,362994	0,252426	0,408856	0,397524	0,295164	0,268381	0,279327	0,396891	0,399721	0,361707	0,368590	0,304864
0,426950	0,420182	0,288722	0,442887	0,371953	0,334543	0,378900	0,322981	0,376088	0,508142	0,439866	0,312899	0,421036	0,374884	0,239667	0,382104	0,299430	0,289607	0,411522	0,394158	0,408268	0,401347	0,378565	0,340275	0,382104	0,390525
0,318058	0,395624	0,405375	0,332296	0,399951	0,413624	0,368603	0,399424	0,400989	0,525771	0,331412	0,388085	0,375867	0,400474	0,366822	0,363132	0,302032	0,402046	0,289059	0,375441	0,386454	0,399481	0,400433	0,361947	0,369353	0,385283
0,393335	0,404944	0,375202	0,558573	0,372144	0,385569	0,386453	0,318067	0,374058	0,498912	0,554727	0,388842	0,298132	0,372366	0,383967	0,244615	0,381673	0,371825	0,287597	0,259496	0,273828	0,372097	0,373877	0,382555	0,346815	0,303180
0,386818	0,278717	0,368232	0,546693	0,375277	0,384842	0,556322	0,369796	0,366599	0,488147	0,542429	0,309668	0,282510	0,362290	0,552518	0,344037	0,375155	0,364760	0,366820	0,345457	0,356285	0,371371	0,366323	0,548696	0,347251	0,356328
0,378010	0,272875	0,377183	0,534853	0,560547	0,381622	0,540709	0,365575	0,375655	0,478565	0,530589	0,315324	0,291717	0,371195	0,540678	0,546429	0,366394	0,356093	0,358722	0,345594	0,347876	0,368151	0,357656	0,536856	0,540448	0,352106
0,445491	0,437373	0,294483	0,346196	0,390012	0,328313	0,389662	0,331661	0,394201	0,527903	0,344893	0,317421	0,441377	0,393103	0,245290	0,402922	0,306497	0,291888	0,435069	0,415743	0,427503	0,415646	0,393685	0,349711	0,393113	0,406751
0,372821	0,475075	0,552243	0,524220	0,549998	0,375656	0,534902	0,359588	0,552240	0,472711	0,519955	0,310894	0,293509	0,548404	0,526272	0,537553	0,360747	0,374237	0,353455	0,544299	0,347186	0,366750	0,373514	0,526223	0,534220	0,348296
0,434867	0,420192	0,413366	0,474947	0,372776	0,444210	0,382445	0,435436	0,287271	0,511360	0,443151	0,429683	0,426939	0,375708	0,378733	0,385649	0,422898	0,411970	0,419557	0,397702	0,408278	0,322642	0,289608	0,238016	0,385649	0,311083
0,380218	0,664873	0,546219	0,512250	0,539901	0,374985	0,529713	0,356869	0,537917	0,466329	0,512176	0,325690	0,295709	0,537914	0,523319	0,529052	0,375502	0,539609	0,348738	0,535505	0,539013	0,362456	0,533287	0,514253	0,526259	0,344343
0,316306	0,410266	0,375293	0,562049	0,369194	0,331916	0,475044	0,399487	0,374148	0,503173	0,558203	0,388549	0,412691	0,372945	0,417915	0,376602	0,381380	0,371916	0,406974	0,392190	0,398797	0,317026	0,373584	0,415164	0,246445	0,387766
0,418409	0,296932	0,403020	0,366118	0,396428	0,411760	0,366049	0,397039	0,401400	0,521256	0,360890	0,314865	0,302929	0,396952	0,364838	0,360572	0,406439	0,399042	0,391115	0,372453	0,383325	0,397929	0,400717	0,362983	0,366365	0,383209
0,490120	0,490053	0,364400	0,303869	0,342228	0,399984	0,450457	0,388860	0,346425	0,189396	0,301907	0,379517	0,480841	0,344642	0,320626	0,454034	0,370216	0,361077	0,477677	0,465044	0,477237	0,338118	0,345212	0,306586	0,453009	0,336807
0,320127	0,384234	0,394321	0,579499	0,388898	0,410056	0,333532	0,395857	0,389936	0,515329	0,579442	0,383560	0,371072	0,389421	0,331792	0,351728	0,304142	0,391449	0,291119	0,364038	0,375543	0,395914	0,389837	0,326569	0,357949	0,381716
0,454139	0,437408	0,430869	0,239641	0,390955	0,462147	0,393660	0,453661	0,292962	0,531479	0,345876	0,445325	0,448607	0,394046	0,389669	0,406921	0,441724	0,426238	0,444624	0,419742	0,427537	0,315540	0,291949	0,243572	0,397112	0,318889
0,434871	0,424130	0,416818	0,502797	0,282619	0,449659	0,385989	0,441268	0,413288	0,632563	0,474853	0,437600	0,435368	0,285819	0,382278	0,389194	0,422901	0,415422	0,419567	0,401247	0,411823	0,437628	0,414946	0,378489	0,389194	0,429239
0,323328	0,374399	0,384029	0,566615	0,360836	0,407109	0,575656	0,391431	0,379643	0,504877	0,566558	0,377830	0,360356	0,379129	0,571669	0,326269	0,307384	0,381056	0,278298	0,353404	0,364799	0,392967	0,379443	0,567236	0,329752	0,377290
0,428120	0,418301	0,290324	0,565715	0,370017	0,339138	0,528659	0,327576	0,374152	0,506392	0,561869	0,314170	0,418201	0,372949	0,475008	0,380147	0,304408	0,291683	0,412877	0,392200	0,406832	0,401738	0,377118	0,442896	0,380147	0,390916
0,313783	0,365305	0,364213	0,553794	0,577326	0,400824	0,558870	0,386607	0,359481	0,494415	0,553737	0,370533	0,354235	0,358649	0,558848	0,565099	0,312705	0,371828	0,287018	0,327565	0,355794	0,386681	0,370216	0,554415	0,558678	0,372466
0,395222	0,408531	0,376695	0,558640	0,415823	0,387406	0,568463	0,322705	0,375551	0,500408	0,554793	0,393451	0,303049	0,373859	0,564659	0,475064	0,383559	0,373223	0,292506	0,264644	0,278737	0,373935	0,375275	0,560837	0,388492	0,307858
0,418420	0,428931	0,403031	0,403022	0,400145	0,410268	0,362412	0,326119	0,401932	0,525940	0,401277	0,417716	0,311996	0,400250	0,361201	0,253862	0,406450	0,399052	0,296225	0,269817	0,284774	0,396437	0,401249	0,359915	0,366798	0,310029
0,454213	0,441857	0,434715	0,386160	0,287988	0,468171	0,397675	0,462334	0,431049	0,658201	0,237923	0,453997	0,460497	0,291474	0,393684	0,411364	0,441798	0,430085	0,444675	0,424185	0,431981	0,455691	0,429640	0,389675	0,401126	0,449919
0,386414	0,402148	0,412401	0,546800	0,574159	0,384711	0,552850	0,328503	0,411200	0,490866	0,542953	0,385132	0,300711	0,409683	0,552819	0,683317	0,374797	0,364556	0,286945	0,475064	0,272896	0,371240	0,366608	0,548997	0,554092	0,313697
0,324704	0,330983	0,564562	0,545993	0,566330	0,393491	0,552614	0,379251	0,564553	0,488023	0,545936	0,363437	0,346453	0,564549	0,543071	0,555630	0,306203	0,358860	0,286674	0,562570	0,328821	0,384342	0,358051	0,543031	0,551962	0,367654
0,557783	0,656091	0,551791	0,517793	0,542262	0,379624	0,533024	0,350538	0,545959	0,466994	0,508702	0,409111	0,475064	0,537658	0,527042	0,644645	0,544455	0,544375	0,647425	0,647940	0,649894	0,369226	0,540906	0,520631	0,534366	0,343509
0,415246	0,593497	0,559447	0,524615	0,553513	0,379398	0,538560	0,340991	0,551530	0,478709	0,524541	0,377370	0,303117	0,551526	0,532167	0,655258	0,407956	0,552808	0,475065	0,661787	0,664023	0,367172	0,546870	0,523518	0,539903	0,323430
0,381225	0,600975	0,565472	0,536167	0,563610	0,378991	0,546521	0,324650	0,565468	0,485051	0,532320	0,379390	0,299703	0,562015	0,537892	0,669107	0,369151	0,406772	0,285655	0,675917	0,475065	0,370084	0,406089	0,537842	0,547864	0,323655
0,436038	0,418311	0,411431	0,709237	0,370841	0,444601	0,531165	0,435827	0,288873	0,509610	0,565598	0,427020	0,424104	0,373772	0,503392	0,383692	0,424068	0,410523	0,420912	0,395745	0,406842	0,327237	0,291683	0,474947	0,383692	0,315678
0,319594	0,411438	0,374079	0,558895	0,444424	0,338005	0,701280	0,397451	0,372934	0,501455	0,555048	0,390345	0,411478	0,371731	0,564914	0,558080	0,380559	0,370606	0,405755	0,391072	0,397578	0,323155	0,372274	0,561092	0,475044	0,385730
0,323889	0,435057	0,403133	0,437966	0,396889	0,341112	0,251988	0,425379	0,402035	0,530478	0,436613	0,417401	0,438027	0,400874	0,358151	0,399232	0,406135	0,399149	0,427772	0,416018	0,422274	0,325020	0,400934	0,356865	0,255856	0,413346
0,422517	0,300612	0,403705	0,592885	0,397114	0,413031	0,371430	0,398310	0,402086	0,522815	0,588435	0,318295	0,306299	0,397637	0,370082	0,360837	0,410546	0,400248	0,395537	0,373146	0,384588	0,399199	0,401924	0,368342	0,367058	0,384480
0,436041	0,422249	0,414883	0,604398	0,284222	0,450050	0,532323	0,441659	0,411353	0,630799	0,710725	0,434938	0,432532	0,287422	0,506148	0,387236	0,424071	0,413975	0,420922	0,399290	0,410387	0,438019	0,413499	0,502805	0,387236	0,429630
0,427299	0,419473	0,293366	0,562561	0,468614	0,344945	0,603049	0,330059	0,372938	0,504673	0,558714	0,320360	0,416988	0,371735	0,702826	0,560336	0,307696	0,294498	0,411658	0,391082	0,405613	0,402755	0,375808	0,564758	0,528667	0,388880
0,505079	0,494113	0,487425	0,322852	0,348247	0,501985	0,460655	0,496857	0,368209	0,195705	0,308944	0,494106	0,493928	0,350345	0,457103	0,463939	0,493966	0,482445	0,493775	0,474653	0,481297	0,391442	0,366132	0,325213	0,462913	0,380715
0,645561	0,604065	0,559912	0,524247	0,548406	0,384712	0,645987	0,445017	0,554463	0,479786	0,517811	0,544163	0,631730	0,548631	0,529864	0,648208	0,549536	0,549774	0,638979	0,657237	0,644366	0,379476	0,546793	0,523864	0,643599	0,436554
0,412580	0,291177	0,393413	0,580000	0,393297	0,410123	0,590039	0,394445	0,391794	0,512405	0,575551	0,321692	0,293638	0,387345	0,586053	0,361325	0,400610	0,389855	0,384857	0,362512	0,373845	0,396292	0,391531	0,582054	0,364850	0,380615
0,403209	0,284014	0,395065	0,567179	0,587575	0,406762	0,573253	0,389779	0,393538	0,501984	0,562730	0,327382	0,302746	0,388816	0,573232	0,579477	0,391281	0,380628	0,376171	0,362506	0,364839	0,392931	0,382303	0,569233	0,573055	0,375949
0,454512	0,444170	0,299319	0,467898	0,397814	0,348978	0,399643	0,336494	0,402066	0,534030	0,464803	0,325638	0,444387	0,400905	0,250270	0,403218	0,311093	0,300416	0,434561	0,416039	0,431387	0,427826	0,404845	0,357830	0,403095	0,416838
0,658467	0,659285	0,565271	0,530018	0,551296	0,370003	0,660466	0,399005	0,559439	0,479654	0,521346	0,443943	0,564179	0,551522	0,539267	0,568384	0,557905	0,557855	0,585125	0,577692	0,582905	0,362971	0,554386	0,532856	0,654146	0,386952
0,326651	0,415272	0,449913	0,559025	0,585914	0,344952	0,699376	0,403067	0,447487	0,502982	0,555178	0,393239	0,419027	0,446297	0,565044	0,599980	0,382964	0,372723	0,410408	0,566372	0,401418	0,330143	0,374775	0,561222	0,696509	0,391345
0,419517	0,426878	0,400833	0,592723	0,397948	0,410651	0,406891	0,331131	0,399735	0,523987	0,588708	0,414879	0,312945	0,398053	0,404370	0,255186	0,407546	0,397377	0,301559	0,271141	0,286666	0,396820	0,399573	0,403022	0,364509	0,315083
0,435217	0,419483	0,410216	0,705688	0,471702	0,445619	0,604147	0,433791	0,291914	0,507891	0,562443	0,428817	0,422891	0,372558	0,603222	0,561504	0,423247	0,409213	0,419693	0,394627	0,405623	0,333044	0,294498	0,704347	0,531173	0,318161
0,325440	0,603368	0,578951	0,548391	0,575365	0,341241	0,684927	0,397384	0,578947	0,497207	0,544545	0,387497	0,416178	0,575495	0,550116	0,589308	0,377317	0,441753	0,407249	0,598578	0,565653	0,340243	0,441110	0,550067	0,682299	0,386092
0,397430	0,703032	0,572250	0,543102	0,566044	0,399612	0,561493	0,380517	0,563822	0,488707	0,543045	0,337347	0,305299	0,563812	0,554704	0,560920	0,392837	0,565224	0,364893	0,567510	0,570951	0,386719	0,558817	0,545149	0,557822	0,367625
0,500000	0,602297	0,572927	0,536840	0,564780	0,358386	0,671078	0,395653	0,565009	0,490904	0,536766	0,385477	0,416355	0,565005	0,544391	0,578616	0,442828	0,566287	0,564895	0,587988	0,593493	0,340822	0,560349	0,535743	0,667930	0,383520
0,397703	0,500000	0,578714	0,555796	0,576579	0,400423	0,566997	0,383417	0,578704	0,495635	0,551346	0,322214	0,303821	0,574766	0,557884	0,570007	0,385279	0,391924	0,370575	0,576916	0,363720	0,391274	0,391157	0,557849	0,566339	0,371819
0,427073	0,421286	0,500000	0,559470	0,586331	0,349737	0,599064	0,338558	0,471266	0,502986	0,555623	0,325957	0,422012	0,468614	0,699340	0,597720	0,312819	0,299848	0,413896	0,567066	0,407432	0,401726	0,375601	0,561667	0,600500	0,391683
