55	Q9o	98s	K5s	Q7s	J9o	A5o	T9o	A6o	K4s	K8o	Q6s	J7s	T7s	A4o	97s	K3s	87s	Q5s	K7o	44	Q8o	A3o	K2s	J8o	Q4s
0,526377	0,401891	0,437577	0,386272	0,282027	0,409513	0,569327	0,419208	0,567025	0,385060	0,627552	0,375062	0,295732	0,309378	0,565524	0,322162	0,383531	0,331985	0,377333	0,475073	0,517111	0,388156	0,561702	0,379071	0,395778	0,376248
0,552532	0,415707	0,341051	0,401901	0,396697	0,425788	0,350768	0,436235	0,334153	0,400345	0,244128	0,402780	0,407808	0,419266	0,349029	0,426224	0,395960	0,338530	0,402133	0,361642	0,542442	0,260209	0,343806	0,395445	0,276236	0,400577
0,664920	0,402900	0,452662	0,398646	0,410939	0,415013	0,530358	0,427066	0,549174	0,395175	0,382404	0,413710	0,422429	0,433860	0,502625	0,440910	0,272761	0,456054	0,401696	0,382329	0,658686	0,394576	0,474947	0,359323	0,406688	0,398225
0,515177	0,658524	0,325380	0,581492	0,350192	0,398654	0,557447	0,408742	0,555145	0,578040	0,694574	0,352840	0,372901	0,384083	0,553644	0,394154	0,574204	0,316795	0,355176	0,556419	0,506147	0,475078	0,549404	0,574200	0,258007	0,353636
0,539736	0,263963	0,325652	0,348395	0,388844	0,279989	0,591424	0,296016	0,589087	0,343653	0,300421	0,394451	0,400366	0,411888	0,587003	0,328268	0,342811	0,407669	0,396439	0,303649	0,529457	0,359875	0,586963	0,338325	0,372248	0,392117
0,666703	0,403746	0,452665	0,402098	0,414775	0,415858	0,531402	0,427911	0,553855	0,398627	0,382408	0,417546	0,426265	0,437695	0,505309	0,444746	0,395156	0,456058	0,405148	0,386267	0,660469	0,394580	0,502078	0,271310	0,406692	0,401677
0,530359	0,401059	0,442206	0,418869	0,404187	0,416706	0,569713	0,424269	0,711515	0,416668	0,625696	0,283479	0,419125	0,426091	0,565910	0,433867	0,415467	0,439350	0,374191	0,596987	0,521093	0,387324	0,562088	0,413950	0,402971	0,373105
0,504736	0,601716	0,317845	0,570002	0,574682	0,657774	0,545544	0,401261	0,539470	0,566550	0,679774	0,569564	0,351267	0,374821	0,541741	0,385181	0,562714	0,322857	0,570136	0,549343	0,495942	0,690558	0,537501	0,562710	0,475078	0,566684
0,489344	0,590194	0,312343	0,555123	0,565248	0,600113	0,529932	0,657066	0,532456	0,555119	0,665038	0,562599	0,572540	0,352383	0,529901	0,376846	0,551283	0,320383	0,555257	0,540092	0,485729	0,675822	0,525661	0,551279	0,685079	0,555253
0,556769	0,423864	0,466339	0,398446	0,290032	0,431621	0,382939	0,441639	0,367213	0,397411	0,394067	0,403205	0,304831	0,319567	0,381592	0,329805	0,395792	0,344414	0,402557	0,245838	0,546679	0,410979	0,379852	0,391343	0,418736	0,401522
0,500000	0,471631	0,510933	0,353155	0,472986	0,483008	0,326268	0,500080	0,436545	0,334913	0,447541	0,472219	0,483388	0,498740	0,301509	0,498977	0,333130	0,502352	0,355866	0,446816	0,185235	0,458866	0,299564	0,331347	0,470201	0,337666
0,528369	0,500000	0,330090	0,595977	0,340191	0,268610	0,578477	0,284636	0,576140	0,592039	0,582120	0,343048	0,389270	0,400792	0,574056	0,315275	0,592035	0,396596	0,345374	0,575991	0,518343	0,301602	0,574016	0,591190	0,361275	0,340631
0,489067	0,669910	0,500000	0,552538	0,556983	0,675686	0,527418	0,683434	0,527706	0,544236	0,654801	0,554823	0,563987	0,570302	0,518371	0,353458	0,544233	0,318255	0,549566	0,534931	0,473878	0,661829	0,518321	0,544229	0,670806	0,541265
0,646845	0,404023	0,447462	0,500000	0,407064	0,416135	0,714619	0,432117	0,601539	0,448040	0,623011	0,407189	0,418553	0,433433	0,578750	0,439123	0,445613	0,444223	0,283715	0,595121	0,525354	0,390288	0,574929	0,444424	0,402400	0,370486
0,527014	0,659809	0,443017	0,592936	0,500000	0,411517	0,569331	0,421605	0,567029	0,589484	0,602296	0,386560	0,299268	0,312915	0,565527	0,325699	0,586032	0,335522	0,388145	0,708042	0,517984	0,634025	0,561706	0,582196	0,397788	0,386933
0,516992	0,731390	0,324314	0,583865	0,588483	0,500000	0,565593	0,274846	0,559292	0,579927	0,571610	0,583312	0,341014	0,390954	0,561172	0,320904	0,579923	0,389536	0,583882	0,568235	0,507218	0,580486	0,561131	0,579078	0,302817	0,579944
0,673732	0,421523	0,472582	0,285381	0,430669	0,434407	0,500000	0,451621	0,577011	0,384911	0,395691	0,433504	0,442572	0,458185	0,441944	0,460698	0,383813	0,469822	0,288994	0,395920	0,546631	0,408638	0,439222	0,382715	0,421522	0,388129
0,499920	0,715364	0,316566	0,567883	0,578395	0,725154	0,548379	0,500000	0,551598	0,567873	0,561163	0,575749	0,585876	0,341804	0,548351	0,316106	0,567870	0,378792	0,567901	0,558216	0,496083	0,570039	0,548310	0,567024	0,578128	0,567891
0,563455	0,423860	0,472294	0,398461	0,432971	0,440708	0,422989	0,448402	0,500000	0,397426	0,398028	0,292097	0,448647	0,455661	0,420468	0,460410	0,396328	0,469946	0,401678	0,398257	0,553365	0,410975	0,418551	0,394773	0,427823	0,400643
0,665087	0,407961	0,455764	0,551960	0,410516	0,420073	0,615089	0,432127	0,602574	0,500000	0,624548	0,410641	0,422006	0,433436	0,716164	0,447041	0,471266	0,450055	0,407462	0,596299	0,642809	0,393832	0,578595	0,468614	0,405945	0,282264
0,552459	0,417880	0,345199	0,376989	0,397704	0,428390	0,604309	0,438837	0,601972	0,375452	0,500000	0,403312	0,409226	0,420685	0,600323	0,431065	0,370720	0,342420	0,405821	0,334390	0,542621	0,264500	0,595890	0,369888	0,280526	0,404265
0,527781	0,656952	0,445177	0,592811	0,613440	0,416688	0,566496	0,424251	0,707903	0,589359	0,596688	0,500000	0,417266	0,424232	0,562692	0,432008	0,585906	0,437491	0,418869	0,599147	0,518751	0,631126	0,558870	0,582454	0,402960	0,416668
0,516612	0,610730	0,436013	0,581447	0,700732	0,658986	0,557428	0,414124	0,551353	0,577994	0,590774	0,582734	0,500000	0,305133	0,553624	0,318163	0,574542	0,330947	0,583305	0,693243	0,507819	0,601870	0,549802	0,570706	0,633314	0,579853
0,501260	0,599208	0,429698	0,566567	0,687085	0,609046	0,541815	0,658196	0,544339	0,566564	0,579315	0,575768	0,694867	0,500000	0,541784	0,312691	0,563111	0,325720	0,568426	0,678506	0,497646	0,590411	0,537962	0,559275	0,600249	0,568422
0,698491	0,425944	0,481629	0,421250	0,434473	0,438828	0,558056	0,451649	0,579532	0,283836	0,399677	0,437308	0,446376	0,458216	0,500000	0,469328	0,384738	0,476215	0,424467	0,399906	0,669236	0,412624	0,469113	0,383640	0,425508	0,287448
0,501023	0,684725	0,646542	0,560877	0,674301	0,679096	0,539302	0,683894	0,539590	0,552959	0,568935	0,567992	0,681837	0,687309	0,530672	0,500000	0,552955	0,324481	0,562735	0,664577	0,486258	0,579968	0,530623	0,549119	0,589514	0,554818
0,666870	0,407965	0,455767	0,554387	0,413968	0,420077	0,616187	0,432130	0,603672	0,528734	0,629280	0,414094	0,425458	0,436889	0,615262	0,447045	0,500000	0,458356	0,410914	0,597826	0,660912	0,397770	0,717685	0,471702	0,409883	0,407444
0,497648	0,603404	0,681745	0,555777	0,664478	0,610464	0,530178	0,621208	0,530054	0,549945	0,657580	0,562509	0,669053	0,674280	0,523785	0,675519	0,541644	0,500000	0,557636	0,653900	0,485728	0,670426	0,514719	0,541640	0,664659	0,551804
0,644134	0,654626	0,450434	0,716285	0,611855	0,416118	0,711006	0,432099	0,598322	0,592538	0,594179	0,581131	0,416695	0,431574	0,575533	0,437265	0,589086	0,442364	0,500000	0,596637	0,523012	0,628441	0,571711	0,585633	0,402389	0,448040
0,553184	0,424009	0,465069	0,404879	0,291958	0,431765	0,604080	0,441784	0,601743	0,403701	0,665610	0,400853	0,306757	0,321494	0,600094	0,335423	0,402174	0,346100	0,403363	0,500000	0,543346	0,409691	0,596096	0,397452	0,417447	0,402328
0,814765	0,481657	0,526122	0,474646	0,482016	0,492782	0,453369	0,503917	0,446635	0,357191	0,457379	0,481249	0,492181	0,502354	0,330764	0,513742	0,339088	0,514272	0,476988	0,456654	0,500000	0,468451	0,306165	0,337305	0,479534	0,359625
0,541134	0,698398	0,338171	0,609712	0,365975	0,419514	0,591362	0,429961	0,589025	0,606168	0,735500	0,368874	0,398130	0,409589	0,587376	0,420032	0,602230	0,329574	0,371559	0,590309	0,531549	0,500000	0,582943	0,602226	0,269155	0,370022
0,700436	0,425984	0,481679	0,425071	0,438294	0,438869	0,560778	0,451690	0,581449	0,421405	0,404110	0,441130	0,450198	0,462038	0,530887	0,469377	0,282315	0,485281	0,428289	0,403904	0,693835	0,417057	0,500000	0,384583	0,429941	0,424623
0,668653	0,408810	0,455771	0,555576	0,417804	0,420922	0,617285	0,432976	0,605227	0,531386	0,630112	0,417546	0,429294	0,440725	0,616360	0,450881	0,528298	0,458360	0,414367	0,602548	0,662695	0,397774	0,615417	0,500000	0,409887	0,410896
0,529799	0,638725	0,329194	0,597600	0,602212	0,697183	0,578478	0,421872	0,572177	0,594055	0,719474	0,597040	0,366686	0,399751	0,574492	0,410486	0,590117	0,335341	0,597611	0,582553	0,520466	0,730845	0,570059	0,590113	0,500000	0,594067
0,662334	0,659369	0,458735	0,629514	0,613067	0,420056	0,611871	0,432109	0,599357	0,717736	0,595735	0,583332	0,420147	0,431578	0,712552	0,445182	0,592556	0,448196	0,551960	0,597672	0,640375	0,629978	0,575377	0,589104	0,405933	0,500000
0,513198	0,626352	0,322354	0,582012	0,592124	0,636595	0,561693	0,696010	0,564483	0,582002	0,703510	0,589477	0,599573	0,367436	0,561671	0,401633	0,578064	0,331814	0,582023	0,572535	0,509373	0,714882	0,557237	0,578060	0,724640	0,582013
0,528450	0,619311	0,448521	0,592874	0,627081	0,659697	0,566562	0,426987	0,705936	0,589421	0,599397	0,713113	0,620417	0,426798	0,562759	0,435352	0,585969	0,443557	0,594809	0,601861	0,519656	0,610450	0,558937	0,582517	0,635190	0,591357
0,557427	0,423077	0,470137	0,439873	0,430620	0,439925	0,604518	0,447619	0,753664	0,437617	0,663623	0,293550	0,446296	0,453310	0,600532	0,461353	0,436449	0,466954	0,399912	0,632787	0,547589	0,408759	0,596534	0,434932	0,425607	0,398877
0,702397	0,426975	0,481753	0,428918	0,442559	0,439859	0,562017	0,452680	0,586630	0,425252	0,404167	0,445388	0,454462	0,466302	0,533909	0,473642	0,421586	0,485355	0,432135	0,408354	0,695796	0,417114	0,530496	0,280826	0,429998	0,428469
0,513137	0,607789	0,442206	0,577994	0,615899	0,618124	0,550950	0,658792	0,691200	0,577991	0,587938	0,699466	0,625618	0,619342	0,550919	0,429067	0,574538	0,437560	0,579930	0,590814	0,509522	0,598992	0,547097	0,571086	0,609326	0,579926
0,513001	0,710858	0,524921	0,579232	0,583403	0,716832	0,559025	0,724972	0,559491	0,570804	0,692558	0,581259	0,590542	0,596956	0,549483	0,368151	0,570794	0,328619	0,575937	0,567107	0,496666	0,699862	0,549442	0,570790	0,709305	0,567509
0,505891	0,595467	0,640164	0,557950	0,667780	0,605937	0,533063	0,612513	0,655429	0,552501	0,587931	0,663721	0,678142	0,669732	0,527082	0,668129	0,546669	0,666114	0,560612	0,657025	0,494580	0,592457	0,520259	0,538368	0,602869	0,555163
0,509604	0,609135	0,682921	0,567204	0,595551	0,619628	0,539313	0,628496	0,666353	0,561372	0,669859	0,673484	0,605306	0,613272	0,532920	0,618542	0,553454	0,617152	0,566034	0,573165	0,497685	0,667832	0,523860	0,553451	0,679497	0,560202
0,512939	0,682139	0,648628	0,572304	0,605503	0,693933	0,548436	0,687326	0,680963	0,564386	0,577558	0,686209	0,615318	0,623572	0,539807	0,618226	0,564382	0,434311	0,573750	0,580562	0,498175	0,588155	0,539758	0,560930	0,598591	0,565833
0,664117	0,660210	0,458739	0,630658	0,614596	0,420059	0,612969	0,432113	0,600455	0,629835	0,600121	0,584533	0,423599	0,435030	0,612045	0,445186	0,719187	0,456498	0,554387	0,599291	0,658435	0,634711	0,714073	0,592634	0,409871	0,528734
0,641455	0,614028	0,451414	0,713027	0,621614	0,656611	0,707457	0,432813	0,594274	0,589547	0,593593	0,623934	0,617522	0,432161	0,572379	0,438245	0,586095	0,445962	0,711424	0,596469	0,520702	0,604646	0,568557	0,582642	0,632063	0,591483
0,686272	0,426400	0,475885	0,524956	0,433778	0,439284	0,756923	0,456498	0,639310	0,471349	0,660741	0,433801	0,445681	0,461294	0,613853	0,467101	0,468843	0,472290	0,293830	0,630795	0,552127	0,412081	0,609855	0,467685	0,424965	0,395994
0,553860	0,700085	0,470406	0,621639	0,524926	0,433167	0,604077	0,443614	0,601740	0,618094	0,640072	0,405069	0,310320	0,325056	0,600091	0,338985	0,614550	0,349663	0,406935	0,750006	0,544275	0,672586	0,596093	0,610611	0,418855	0,405757
0,665900	0,664696	0,458743	0,631862	0,619056	0,420905	0,614067	0,432958	0,602009	0,631038	0,600635	0,586050	0,427435	0,438866	0,613143	0,449022	0,630215	0,456501	0,555576	0,603740	0,660218	0,635543	0,612200	0,720639	0,409875	0,531386
0,659613	0,618350	0,459715	0,626523	0,622699	0,661354	0,608717	0,432823	0,595309	0,714478	0,595149	0,625019	0,618734	0,432165	0,709003	0,446163	0,589566	0,451794	0,628459	0,597504	0,637971	0,606202	0,572223	0,586113	0,633600	0,712876
0,815231	0,486615	0,529971	0,484541	0,491635	0,497446	0,464156	0,508287	0,457422	0,481323	0,468313	0,490867	0,501524	0,511422	0,460605	0,517591	0,361946	0,529655	0,486607	0,467147	0,810106	0,479091	0,335939	0,343955	0,489879	0,483388
0,602550	0,593386	0,632128	0,665119	0,613091	0,600636	0,655542	0,610932	0,662936	0,558041	0,586808	0,667102	0,616792	0,625578	0,540334	0,628246	0,552593	0,632792	0,660524	0,589193	0,503375	0,590375	0,533923	0,546761	0,594801	0,557650
0,542567	0,648259	0,462888	0,609526	0,741967	0,698789	0,591193	0,435525	0,584892	0,605982	0,627699	0,610837	0,524926	0,315799	0,587207	0,330009	0,602437	0,343922	0,611408	0,733988	0,533234	0,639152	0,583209	0,598499	0,671405	0,607863
0,526008	0,635886	0,456112	0,593938	0,727086	0,646039	0,574408	0,697533	0,577198	0,593928	0,615389	0,603274	0,735376	0,524926	0,574386	0,323199	0,590384	0,337392	0,595820	0,718024	0,522183	0,626843	0,570388	0,586446	0,636996	0,595810
0,700493	0,430821	0,484933	0,582093	0,437582	0,443705	0,653483	0,456526	0,640521	0,524992	0,662481	0,437605	0,449485	0,461325	0,758641	0,475731	0,496617	0,478684	0,434129	0,632142	0,682072	0,416068	0,613846	0,493860	0,428952	0,292284
0,612171	0,605684	0,647145	0,675203	0,678992	0,611471	0,669783	0,621792	0,571128	0,564180	0,598148	0,599496	0,675543	0,683698	0,548672	0,671562	0,558348	0,667299	0,673932	0,669108	0,506816	0,602673	0,542261	0,550430	0,608403	0,566842
0,640369	0,616215	0,454958	0,711278	0,624205	0,626507	0,705553	0,661973	0,597052	0,589669	0,596364	0,626525	0,633879	0,622122	0,572508	0,441819	0,586217	0,450312	0,709676	0,599240	0,521639	0,607417	0,568686	0,582764	0,617709	0,591604
0,554591	0,696892	0,472931	0,621384	0,648387	0,439298	0,601003	0,446992	0,749733	0,617840	0,634067	0,524936	0,444293	0,451307	0,597017	0,459350	0,614295	0,464951	0,439865	0,636620	0,545006	0,669350	0,593019	0,610750	0,424986	0,437609
0,661396	0,618802	0,459719	0,627668	0,624332	0,662195	0,609815	0,432827	0,596407	0,626844	0,599534	0,626164	0,620263	0,435617	0,608890	0,446166	0,715930	0,460095	0,629603	0,599123	0,655989	0,610588	0,710524	0,589643	0,638332	0,628779
0,631439	0,694180	0,649608	0,698495	0,613809	0,691108	0,695316	0,701924	0,590505	0,576064	0,585984	0,616513	0,623578	0,632290	0,561396	0,620937	0,576060	0,447063	0,696419	0,588988	0,510330	0,596581	0,561347	0,572608	0,606974	0,577511
0,522402	0,640264	0,720858	0,582467	0,702668	0,647424	0,561849	0,658486	0,561886	0,576564	0,697762	0,589271	0,707455	0,713016	0,555060	0,714337	0,568136	0,524925	0,584342	0,691616	0,509465	0,711833	0,545506	0,568126	0,705363	0,578439
0,621827	0,619351	0,686354	0,688672	0,603856	0,627612	0,680707	0,637774	0,579174	0,573050	0,681942	0,606665	0,613182	0,621990	0,554509	0,627179	0,565133	0,619782	0,683694	0,581591	0,509880	0,679873	0,545861	0,565129	0,676672	0,571880
0,525853	0,727173	0,682870	0,587853	0,713273	0,720837	0,571740	0,725771	0,572206	0,579818	0,604376	0,595056	0,721283	0,727125	0,562627	0,524925	0,579808	0,335127	0,589734	0,703068	0,509947	0,615766	0,562592	0,575870	0,625601	0,581699
0,656370	0,617764	0,461280	0,622772	0,622094	0,628056	0,604732	0,662791	0,595204	0,711278	0,594625	0,624798	0,631768	0,622817	0,705517	0,447757	0,586634	0,453781	0,624707	0,596980	0,635600	0,605679	0,569131	0,583182	0,615971	0,709676
